Lag,MAE,RMSE,MAPE,Model,Sub-Model
1.0,731.1704332084988,2847.712985534261,0.7535404241146838,_XGBRegressor,original
2.0,818.1147022554125,3247.9343566550992,0.7297084798824057,_XGBRegressor,original
3.0,914.5602470446614,3624.969243940588,0.7540064563856896,_XGBRegressor,original
1.0,945.5781939495256,2970.4012230238563,0.9498045235045384,_XGBRegressor,woInteractionTerms
2.0,1602.8181326279864,4796.442136272845,1.3463798561657605,_XGBRegressor,woInteractionTerms
3.0,1757.6957889569394,4225.542990081982,1.6017271913410538,_XGBRegressor,woInteractionTerms
1.0,909.9165925480456,3429.711222851593,0.931438070726041,_XGBRegressor,wdrop_winteract
2.0,1407.20590812008,4020.38493834405,1.5520641190123183,_XGBRegressor,wdrop_winteract
3.0,1383.2260838420164,2952.683098797348,1.7048511225591356,_XGBRegressor,wdrop_winteract
1.0,791.9009710494938,3014.590499912192,0.78771181647318,_XGBRegressor,wInteractionTerms
2.0,1148.3952074414026,3649.299805030445,1.128072778110471,_XGBRegressor,wInteractionTerms
3.0,1152.169811908321,3025.008643099025,1.1971571459578036,_XGBRegressor,wInteractionTerms
1.0,1354.2517229685725,3663.374116801311,1.1671620891820458,_XGBRegressor,wdrop_wointeract
2.0,2653.1610711224403,6127.015583332595,2.07739843887003,_XGBRegressor,wdrop_wointeract
3.0,3544.890412506798,7394.261420479651,2.7960600992339764,_XGBRegressor,wdrop_wointeract
