Lag,Correlation,P_Value,N
-5,-0.2815067448812951,0.0002846100143087076,162
-4,-0.09723627209875713,0.21690345906877243,163
-3,-0.000466689784227264,0.9952679084578038,164
-2,0.15763828201131502,0.04315901502794858,165
-1,0.03375267116371095,0.6659523812528596,166
0,-0.23618449517770604,0.0021202812661996807,167
1,-0.09847819192325932,0.20684593894353287,166
2,0.0011606204065937233,0.9881956445959731,165
3,0.13115586883530972,0.09412927682870169,164
4,0.18826376338949655,0.016099425409101385,163
5,0.12899128632374132,0.10185644635693882,162
