Model,MAPE,RMSE,MAE,MASE,OOS_R2_vs_RW,N
NN-LagRD,3.910433181117982,14.300919990847246,5.6834612782788145,0.665128380630148,0.0361315825554408,276
NN-Macros,12.86926751611191,23.287551971747913,12.976121458336983,1.5185793005099084,-1.5558624097953992,276
NN-AGT,12.746957501292785,64.15326073751226,21.70505392625318,2.5401153738186144,-18.396674013446926,276
NN-AGTwRD,10.222650080052386,49.59989672342242,17.496261690591368,2.0475656709090084,-10.59448173613297,276
NN-AllVar,7.26365984592466,53.93395993281447,14.985580335710187,1.7537437651924013,-12.709272617720927,276
OLS-LagRD,3.4626256085506695,12.831184432278976,4.8320653664243665,0.5654905795790299,0.2240686638195879,276
OLS-Macros,7.503452147567168,14.213332932110431,6.762359280414594,0.7913904673920011,0.04790199649844207,276
OLS-AGT,45.56511272984364,78.02727295350654,43.02585973722657,5.035262670234645,-27.69344234951995,276
OLS-AGTwRD,35.11160716721516,74.20620288743385,37.251561075241824,4.359503703951364,-24.95196311186996,276
OLS-AllVar,34.6648587584476,74.04174437396895,36.916000752181226,4.320233498111479,-24.837059191814806,276
RW,5.406362608123174,14.566496264535106,8.860849181870726,1.0369741217152222,0.0,264
RW_drift,3.103617720237185,6.866622811993711,4.002689079476144,0.4684297077509429,0.7777835627628629,264
AR1,2.688993759230792,5.473210337242632,3.3115788459908666,0.3875499396082812,0.8588197087587005,264
HistMean,19.203790445861085,59.17727462822112,32.914098612938965,3.851895884994033,-15.504399088225085,264
