Country,Year,fold
CA,2004,train
CA,2005,train
CA,2006,train
CA,2007,train
CA,2008,val
CA,2009,train
CA,2010,test
CA,2011,test
CA,2012,train
CA,2013,train
CA,2014,test
CA,2015,train
CA,2016,val
CA,2017,train
CA,2018,test
CA,2019,train
CA,2020,train
CA,2021,train
CA,2022,val
CH,2004,train
CH,2008,test
CH,2012,train
CH,2015,val
CH,2017,train
CH,2019,train
CN,2004,train
CN,2005,train
CN,2006,train
CN,2007,train
CN,2008,train
CN,2009,test
CN,2010,train
CN,2011,train
CN,2012,val
CN,2013,test
CN,2014,train
CN,2015,val
CN,2016,test
CN,2017,train
CN,2018,train
DE,2004,train
DE,2005,val
DE,2006,train
DE,2007,val
DE,2008,train
DE,2009,train
DE,2010,test
DE,2011,train
DE,2012,test
DE,2013,train
DE,2014,train
DE,2015,train
DE,2016,train
DE,2017,train
DE,2018,train
DE,2019,train
DE,2020,val
DE,2021,test
GB,2004,val
GB,2005,train
GB,2006,val
GB,2007,train
GB,2008,train
GB,2009,train
GB,2010,test
GB,2011,val
GB,2012,train
GB,2013,train
GB,2014,train
GB,2015,test
GB,2016,test
GB,2017,train
GB,2018,train
GB,2019,train
GB,2020,train
JP,2004,train
JP,2005,test
JP,2006,train
JP,2007,val
JP,2008,train
JP,2009,train
JP,2010,train
JP,2011,train
JP,2012,train
JP,2013,val
JP,2014,train
JP,2015,test
JP,2016,train
JP,2017,val
JP,2018,train
JP,2019,train
JP,2020,train
JP,2021,test
KR,2004,val
KR,2005,train
KR,2006,train
KR,2007,train
KR,2008,train
KR,2009,train
KR,2010,train
KR,2011,train
KR,2012,test
KR,2013,train
KR,2014,train
KR,2015,train
KR,2016,test
KR,2017,train
KR,2018,val
KR,2019,val
KR,2020,train
KR,2021,test
US,2004,test
US,2005,train
US,2006,train
US,2007,train
US,2008,test
US,2009,train
US,2010,val
US,2011,train
US,2012,val
US,2013,test
US,2014,train
US,2015,train
US,2016,train
US,2017,train
US,2018,train
US,2019,val
US,2020,train
US,2021,train
